Topic,Count,Name,Representation,Representative_Docs
13,16,13_distance_within_walking_grown,"['distance', 'within', 'walking', 'grown', 'number', 'per', 'higher', 'significantly', 'national', 'annual']","['top looking number per share car within walking distance', 'number grown significantly additional year new annual today already electric already car within walking distance home', 'number grown significantly additional year new annual today already electric already car within walking distance home']"
14,15,14_battery_power_possible_supply,"['battery', 'power', 'possible', 'supply', 'work', 'one', 'empty', 'fuel', 'ad', 'electricity']","['battery one electric car supply power possible work', 'battery one electric car supply power possible work', 'battery one electric car supply power possible work']"
15,13,15_mobility_encouraging_growth_license,"['mobility', 'encouraging', 'growth', 'license', 'sustainable', 'everything', 'crow', 'wallet', 'actively', 'manage']","['actively affordable mobility help bit people need car every day car economical sustainable option particularly often available walking mode', 'also effect intended car ownership many number adult increasing available space encouraging car one way manage mobility growth addition encouraging cycling public transport', 'also smaller transition period private car mobility becoming expensive difficult car mobility accessible indeed everything longer possible way used']"
16,13,16_great_streak_strange_dive,"['great', 'streak', 'strange', 'dive', 'communist', 'hey', 'discover', 'mean', 'via', 'two']","['great strange', 'thats communist streak', 'great start choose discover dive']"
17,12,17_endura_initiative_project_meeting,"['endura', 'initiative', 'project', 'meeting', 'ambitious', 'registration', 'participation', 'hear', 'together', 'hold']","['share car together neighborhood endura project come hear ambitious initiative participation free registration', 'share car together neighborhood endura project come hear ambitious initiative participation free registration', 'share car together neighborhood endura project come hear ambitious initiative participation free registration']"
18,12,18_electricity_world_supply_first,"['electricity', 'world', 'supply', 'first', 'energy', 'renewable', 'electrification', 'virtue', 'solar', 'wind']","['world first supply electricity', 'world first supply electricity', 'world first supply electricity']"
19,11,19_flown_popular_top_evident,"['flown', 'popular', 'top', 'evident', 'especially', 'spread', 'year', 'request', 'throughout', 'annual']","['nice news number last year evident annual survey curious', 'another month flown lot new spread throughout especially popular request', 'another month flown lot new spread throughout especially popular request']"
20,10,20_none_nobody_never_everyone,"['none', 'nobody', 'never', 'everyone', 'police', 'theorist', 'liter', 'military', 'sort', 'peace']","['leave nothing happy car maybe car unaffordable driving car get used petrol price per liter', 'nobody driving car dont drive car everyone like make choice safety family something everyone else stay away', 'handy man lost police military police sort car none business need able buy action peace']"
21,10,21_battery_neighborhood_provide_entire,"['battery', 'neighborhood', 'provide', 'entire', 'evening', 'charge', 'work', 'power', 'hundred', 'day']","['charge day evening provide entire neighborhood power work', 'charge day evening provide entire neighborhood power work', 'charge day evening provide entire neighborhood power work']"
22,10,22_success_center_make_parking,"['success', 'center', 'make', 'parking', 'city', 'flexible', 'face', 'evolution', 'engine', 'nearly']","['parking city center make transport success', 'parking city center make transport success', 'parking city center make transport success']"
23,9,23_private_honest_ban_ownership,"['private', 'honest', 'ban', 'ownership', 'instead', 'need', 'feeling', 'insured', 'doubt', 'namely']","['assumption could replace still private ownership often use time namely way work car solution need honest', 'private car ownership persuade people doubt buy private car instead car bicycle public transport let people choose within car distance instead walking distance', 'concerned completely ban private car ownership maybe car minute dont need car perhaps better idea walk cycle especially crowded']"
24,9,24_research_user_report_impact,"['research', 'user', 'report', 'impact', 'survey', 'launch', 'official', 'rural', 'full', 'behind']","['curious user research important found knowing entire report available everyone like report research', 'today official launch research report impact car behind user research full report free', 'today official launch research report impact car behind user research full report free']"
25,9,25_pressure_combat_hassle_quite,"['pressure', 'combat', 'hassle', 'quite', 'sometimes', 'parking', 'via', 'game', 'lite', 'min']","['well combat parking pressure sometimes quite hassle', 'combat parking pressure sometimes quite hassle', 'combat parking pressure sometimes quite hassle via']"
26,8,26_rid_happy_idea_right,"['rid', 'happy', 'idea', 'right', 'get', 'good', 'wear', 'tear', 'failure', 'enjoy']","['happy yet also disappearing longer map right idea draw attention regular car', 'would happy get rid car longer work car away', 'anyone good idea get rid car today grab car everyone madness']"
27,8,27_ride_book_trip_wonderfully,"['ride', 'book', 'trip', 'wonderfully', 'first', 'discount', 'handy', 'receive', 'impact', 'curious']","['want curious first ride car drive handy affordable wonderfully sustainable also want make impact together book first ride receive discount', 'hi curious first ride car drive handy affordable wonderfully sustainable also want make impact together book first ride receive discount', 'hi curious first ride car drive handy affordable wonderfully sustainable also want make impact together book first ride receive discount']"
28,8,28_charging_infrastructure_municipality_plan,"['charging', 'infrastructure', 'municipality', 'plan', 'envision', 'guarantee', 'belt', 'canal', 'charger', 'slow']","['municipality charging electric', 'municipality charging electric', 'future charging conference session charging infrastructure electric']"
29,8,29_solar_drive_collaborate_hand,"['solar', 'drive', 'collaborate', 'hand', 'collaboration', 'end', 'soon', 'energy', 'eventually', 'join']","['drive solar charge anywhere innovation go hand hand world drive solar', 'drive solar collaborate', 'drive solar join end electric connected drive solar charging']"
30,8,30_cycling_walking_objection_pollution,"['cycling', 'walking', 'objection', 'pollution', 'greenery', 'space', 'yes', 'traffic', 'public', 'thats']","['yet received answer objection expansion transport nobody expand position ordinary cyclist becomes marginal nuisance disastrous pretty much objection', 'good morning dry going quickly everything yesterday garbage cardboard container cycling praxis yes car free cycling remains main transport getting wish', 'yes crazy seem find important space greenery walking cycling something quality life climate go bike ride subscribe car']"
31,8,31_fleet_flemish_powered_passenger,"['fleet', 'flemish', 'powered', 'passenger', 'electrically', 'entire', 'already', 'total', 'share', 'higher']","['entire fleet already electric considerably higher dutch fleet also higher lease fleet', 'know flemish already electrically powered lot share electric total flemish passenger car fleet', 'know flemish already electrically powered lot share electric total flemish passenger car fleet']"
32,7,32_crazy_madness_perhaps_certainly,"['crazy', 'madness', 'perhaps', 'certainly', 'city', 'many', 'shape', 'rutabaga', 'avocado', 'pineapple']","['madness time car certainly work many people work irregular far outside city', 'city living without car certainly possible perhaps even desirable car quickly necessary example becoming lot difficult example invest good electric bicycle longer', 'absolutely chance unfortunately little madness avocado pineapple soy another country rutabaga man really crazy']"
33,7,33_questionnaire_let_short_know,"['questionnaire', 'let', 'short', 'know', 'think', 'sister', 'decide', 'via', 'bicycle', 'scooter']","['bicycle scooter car think let u know via short questionnaire', 'bicycle scooter car think let u know via short questionnaire', 'bicycle scooter car think let u know via short questionnaire']"
34,7,34_tax_green_motion_introduce,"['tax', 'green', 'motion', 'introduce', 'investigating', 'investigate', 'government', 'house', 'van', 'within']","['appreciation motion member van investigating car within green tax parliamentary document', 'motion government investigate car could within green tax travel allowance inform chamber march', 'motion van investigating car within green tax adopted house full text']"
35,6,35_supply_growing_growth_plenty,"['supply', 'growing', 'growth', 'plenty', 'already', 'available', 'quick', 'marked', 'density', 'various']","['quick look market looking north many currently marked available exactly density supply everywhere', 'good news supply grown year almost half already electric yesterday supply also growing outside', 'various already available via supply growing along growing demand']"
36,5,36_front_door_two_pursuit,"['front', 'door', 'two', 'pursuit', 'shower', 'yard', 'though', 'want', 'tracked', 'satisfied']","['offer car car via fact drive car front door ideal situation satisfied', 'pursuit stolen car front yard home north police tracked car two previous hit high speed two', 'car exactly way want front near door car home sometimes use car difficult though']"
