Keyword,Tweet Text,Translated Text
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Boven een norm van 0.7 voor bewoners wordt verondersteld dat er geen deelauto's zijn. De vaste relaties zijn verder afkomstig van het tabelletje van RH/DHV. Dus vragen daarover moet je aan hen stellen. 5/,"Above a standard of 0.7 for residents, it is assumed that there are no shared cars. The permanent relationships also come from the RH/DHV table. So you should ask them questions about that. 5/"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"We zitten er weer bovenop! Heeft u ook overlast van een deelscooter? Eerst melden bij GoSharing (085 107 0505). Na 24 uur nog niet opgelost? Laat het de gemeente weten👇
https://t.co/Teb5meZasX","We're back on top! Are you also inconvenienced by a shared scooter? First report to GoSharing (085 107 0505). Still not resolved after 24 hours? Let the municipality know👇
https://t.co/Teb5meZasX"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Mobiliteitshub met fietsparkeerplaats en met ruimte  om auto’s van bezoekers buiten het centrum te houden.,Mobility hub with bicycle parking and space to keep visitors' cars outside the center.
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,College presenteert Mobiliteit Masterplan II Tholen https://t.co/Z3vu1ILAO7,College presents Mobility Masterplan II Tholen https://t.co/Z3vu1ILAO7
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"'Alcoholslot' op deelscooter moet dronken bestuurder uit verkeer houden
https://t.co/J8ZCUSqEde","'Alcohol lock' on shared scooter should keep drunk drivers out of traffic
https://t.co/J8ZCUSqEde"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Veiligheidsslot moet zorgen dat beschonken gebruiker deelscooter laat staan
https://t.co/LUMA9AU4ed","A safety lock must ensure that an intoxicated user leaves the shared scooter behind
https://t.co/LUMA9AU4ed"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Deelscooters voor 25% gebruikt door dronken jongeren en voor criminele activiteiten =dus levensgevaarlijk!! Er komt nu een veiligheidsslot .De deelscooter  ""pilot"" ( steeds meer deelscooters) beëindigen ,is een betere en 
vooral veiligere optie! @Amsterdamnl @VeiligVerkeer","Shared scooters are used for 25% by drunken young people and for criminal activities = therefore very dangerous!! There will now be a security lock. Ending the shared scooter ""pilot"" (more and more shared scooters) is a better and
especially safer option! @Amsterdamnl @VeiligVerkeer"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@sophietjerietje @NS_online Vroeger reisde ik voor mn plezier met de trein en was dat redelijk betrouwbaar. Tegenwoordig heb je totaal geen idee of je überhaupt op je bestemming aan gaat komen... en of je weer thuis komt. Zou een deelauto iets voor jou zijn? MyWheels bv? Ik kan ook geen auto kopen, te duur.","@sophietjerietje @NS_online I used to travel by train for pleasure and it was fairly reliable. Nowadays you have absolutely no idea whether you will even arrive at your destination... and whether you will get home again. Would a shared car be something for you? MyWheels bv? I can't buy a car either, too expensive."
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Voor wie wil 👉
Benieuwd naar je eerste rit in een deelauto? Ik rij met de auto's van MyWheels. Handig, voordelig en lekker duurzaam! Wil jij ook samen impact maken? Boek een eerste rit, dan ontvangen we beide €25 korting -- https://t.co/SVcOWmxY6p https://t.co/SVcOWmxY6p","For those who want 👉
Curious about your first ride in a shared car? I drive MyWheels cars. Handy, affordable and wonderfully sustainable! Do you also want to make an impact together? Book a first ride and we will both receive a €25 discount -- https://t.co/SVcOWmxY6p https://t.co/SVcOWmxY6p"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@sophietjerietje @NS_online Ik herken de drama 😧 Bij #Blauwnet in het oosten van het land is het nog veel erger: daar rijden de treinen standaard niet, bij uitzondering wel. Te bizar. Ik reis tegenwoordig zo weinig mogelijk meer met de trein, noodzakelijke verre reizen met de taxi. Overweeg een deelauto...","@sophietjerietje @NS_online I recognize the drama 😧 At #Blauwnet in the east of the country it is even worse: the trains do not run there by default, but in exceptional cases they do. Too bizarre. Nowadays I travel as little as possible by train, but necessary long-distance journeys by taxi. Consider a car share..."
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Hulp gevraagd aan de X posse (invullen enquete en/of  delen)!
Oproep aan mensen die wonen/werken/studeren in het Brusselse - in het kader van  masterproef in de Geografie en Geomatica onderzoek naar de genderkloof op vlak van gebruik van gedeelde micromobiliteit (deelfiets, elektrische deelfiets, deelstep) in Brussel.

Woon/werk/studeer jij in het Brussels Hoofdstedelijk Gewest? Dan help je me enorm met het invullen van onderstaande enquête (duurt 5 à 10 min). (Je hoeft nog geen ervaring te hebben met deelmobiliteit!)

Link: https://t.co/Bny3241vQp","Help requested from the X posse (complete survey and/or share)!
Call to people who live/work/study in Brussels - in the context of a master's thesis in Geography and Geomatics, research into the gender gap in the use of shared micromobility (bike sharing, electric bike sharing, scooter sharing) in Brussels.

Do you live/work/study in the Brussels-Capital Region? Then you will help me enormously by completing the survey below (takes 5 to 10 minutes). (You do not need to have experience with shared mobility yet!)

Link: https://t.co/Bny3241vQp"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"@AgorismeHolland @tom_lamoen @iamarawn @HuurmanJoyce Auto's zullen nooit helemaal uit de stad verdwijnen. Maar veel ritjes kunnen prima ingeruild voor lopen/fiets/OV/deelauto/buurtauto. Hoe dit vorm moet krijgen, daar zijn al veel ideeën over: https://t.co/TQmW1m2nZJ",@AgorismeHolland @tom_lamoen @iamarawn @HuurmanJoyce Cars will never completely disappear from the city. But many trips can easily be exchanged for walking/cycling/public transport/shared car/local car. There are already many ideas about how this should take shape: https://t.co/TQmW1m2nZJ
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Er komt veel nieuwe informatie uit ons gebruikersonderzoek📚 🚗 . Maar wat doen wij eigenlijk met deze gegevens en waarom is het interessant om dit soort onderzoek uit te voeren? Je leest het hier: https://t.co/z1eUWmKjbu

#greenwheels #deelauto #autodelen #onderzoek https://t.co/fAH6jYkpQ2","A lot of new information comes from our user research📚 🚗 . But what do we actually do with this data and why is it interesting to conduct this type of research? You can read it here: https://t.co/z1eUWmKjbu

#greenwheels #sharecar #carsharing #research https://t.co/fAH6jYkpQ2"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Wethouder @CasteleinKoen gebruikte maandag de slimme bandenpomp van 'Band op Spanning'. Hij nam de deelauto van de gemeente mee naar de bandenpomp. Gemiddeld maken er 57 gebruikers per week gebruik van de pomp. Dit bespaart gem. €24,41. De pomp is gratis en staat bij de AH. https://t.co/3nepNAiXaN","Councilor @CasteleinKoen used the smart tire pump from 'Band op Tenning' on Monday. He took the municipality's shared car to the tire pump. On average, 57 users use the pump per week. This saves avg. €24.41. The pump is free and can be found at the AH. https://t.co/3nepNAiXaN"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@nrc Niet iedereen die elektrisch wil rijden heeft een eigen auto nodig. Van de deelauto's is al 48% elektrisch.,"@nrc Not everyone who wants to drive electric needs their own car. Of the shared cars, 48% are already electric."
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@thierrybaudet Goszijdank krijgen we prachtige 15 minute cities. Waarom zou je nog vliegen als je creditscore hoog genoeg is om een deelfiets te mogen rijden.,@thierrybaudetThank goodness we get beautiful 15 minute cities. Why would you fly if your credit score is high enough to be allowed to ride a shared bike?
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@kverberkmoes Mooie redding door de deelauto. Goede reis!,@kverberkmoes Nice rescue by the shared car. Good trip!
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"In Veldhoven mag je volgend jaar niet meer overal je deelfiets of -scooter achterlaten 
 
 https://t.co/Cqya2rG08G","Next year you will no longer be allowed to leave your shared bicycle or scooter anywhere in Veldhoven
 
 https://t.co/Cqya2rG08G"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@Irma_Koopman @roosvonk En deelauto’s in dorpen en electrische deelfietsen. Een beetje creativiteit in plaats van het eeuwige gedram om geld (waarmee niet gezegd is dat er voor de minima niet meer geld moet komen. Maar wees gewoon eens inventief),@Irma_Koopman @roosvonk And shared cars in villages and electric shared bicycles. A little creativity instead of the eternal struggle for money (which does not mean that there should not be more money for the minimum income. But just be inventive)
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,In Veldhoven mag je volgend jaar niet meer overal je deelfiets of -scooter achterlaten https://t.co/wFs7C91pxf https://t.co/TOgkXBbrKI,Next year you will no longer be allowed to leave your shared bicycle or scooter everywhere in Veldhoven https://t.co/wFs7C91pxf https://t.co/TOgkXBbrKI
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,In Veldhoven mag je volgend jaar niet meer overal je deelfiets of -scooter achterlaten https://t.co/Ja5B4qqAYa https://t.co/7vXsUMfy2b,Next year you will no longer be allowed to leave your shared bicycle or scooter everywhere in Veldhoven https://t.co/Ja5B4qqAYa https://t.co/7vXsUMfy2b
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Dat je om 08:10 met 2 kids in de IC direct naar Schiphol staat om de vlucht van 11:10 te halen en dat vervolgens de trein het niet deed. Sixt deelauto gepakt. Rennen op het vliegveld. Koffer kon niet meer mee, maar we hebben de vlucht gehaald. Huilende oudste dochter.","That at 8:10 am you go straight to Schiphol with 2 kids in the ICU to catch the 11:10 am flight and then the train doesn't work. Sixt shared car taken. Running at the airport. We couldn't take the suitcase with us anymore, but we made it to the flight. Crying eldest daughter."
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"'s Ochtends met de #deelauto afgereisd naar 'onbekend terrein', maar op de terugweg bleek Google Maps een halve #snipperdag te hebben genomen. Ik kon kiezen voor de optie borden volgen en de optie paniek. Natuurlijk koos ik voor het laatste.","In the morning I traveled with the #sharecar to 'unknown territory', but on the way back Google Maps turned out to have taken half a #scatter day. I could choose the follow signs option and the panic option. Of course I chose the latter."
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Tips of vragen over #SchoonHeelVeilig in #Overschie? Of gewoon een praatje?
Kom naar ons #Handhaving-inloopspreekuur:
📅woensdag 29 november
⏲️10.00-12.00uur
📍Wijkhub, Abtsweg 26
Tot dan!

#SamenZienWeMeer #BuitenIsVanOnsAllemaal #Samen #Handhaving010 https://t.co/8rJ6MWjbPY","Tips or questions about #CleanHeelVeilig in #Overschie? Or just a chat?
Come to our #Enforcement walk-in consultation hours:
📅Wednesday, November 29
⏲️10am-12pm
📍Neighborhood hub, Abtsweg 26
Until then!

#SamenZienWeMeer #BuitenIsVanOnsAllemaal #Samen #Handhaving010 https://t.co/8rJ6MWjbPY"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"De kerstboom is vanochtend gearriveerd in het winkelcentrum! 🎄🌟

Gastvrouw Thea zag vanuit de wijkhub hoe de boom geïnstalleerd werd en deelde de foto’s met ons via de Like Je Wijk app!

Bekijk de foto's via 👉  https://t.co/ZcAq052Epu

#Beverwaard https://t.co/mWyXKCv8om","The Christmas tree arrived at the mall this morning! 🎄🌟

Hostess Thea saw how the tree was installed from the neighborhood hub and shared the photos with us via the Like Je Wijk app!

View the photos via 👉 https://t.co/ZcAq052Epu

#Beverwaard https://t.co/mWyXKCv8om"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@atlantisblauw @KelRebel @ridefelyx Ooit in Apeldoorn geprobeerd iemand uit te leggen toen ie zijn GO Sharing deelscooter midden op de stoep gooide dat hij de zooi blokkeerde. Keek me aan alsof ik net vertelde dat ik als man zwanger was van hem en we een nieuwe religie konden starten. Geen enkel benul die gast.,@atlantisblauw @KelRebel @ridefelyx I once tried to explain to someone in Apeldoorn when he threw his GO Sharing sharing scooter in the middle of the sidewalk that he was blocking the mess. Looked at me as if I just told him that as a man I was pregnant by him and we could start a new religion. That guy has no clue.
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@KelRebel @atlantisblauw @ridefelyx Kom je me dan halen op een deelscooter?,@KelRebel @atlantisblauw @ridefelyx Will you come pick me up on a shared scooter?
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Over een nieuw gemeentehuis in de 'spoorzone' in Raalte, de N35, een toekomst met deelvervoer en meer. Voor het Weekblad, een blik in de toekomst.

Gerlant: Uw heilige koe? U doet hem straks zelf de deur uit https://t.co/8wq88pAIex","About a new town hall in the 'railway zone' in Raalte, the N35, a future with shared transport and more. For the Weekly, a look into the future.

Gerlant: Your sacred cow? You will soon take it out yourself https://t.co/8wq88pAIex"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Ja @Stad_Antwerpen is soms wereldtop op vlak van mobiliteit: de Velo's zijn wereldwijd mogelijk meest gebruikte #deelfiets systeem. En na 12 jaar meer dan ooit geliefd: voorbije maanden waren topmaanden. Ere aan schepen @CampenhoutLudo die initiatief nam! https://t.co/Awxi1qDib3,"Yes @Stad_Antwerpen is sometimes the world leader in terms of mobility: the Velos are possibly the most used #bike sharing system worldwide. And after 12 years, more loved than ever: the past few months have been top months. Honor to alderman @CampenhoutLudo who took the initiative! https://t.co/Awxi1qDib3"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"En nog steeds staat deze fiets naast de oprit vanaf station Europapark naar de Helperzoom. Al meer dan een maand, ondanks meerdere meldingen en toezeggingen dat hij opgehaald wordt. Deelfiets= overlast! @gosharingoff https://t.co/eD766Y3KCv","And this bicycle is still next to the driveway from Europapark station to the Helperzoom. For more than a month, despite several reports and promises that it will be picked up. Bicycle sharing = nuisance! @gosharingoff https://t.co/eD766Y3KCv"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,Het succesverhaal achter de Antwerpse Velo-deelfiets: “Iemand is er zelfs al mee naar Oostende gefietst... en kreeg een serieuze boete” ⁦@Stad_Antwerpen⁩ ⁦@Koen_Kennis⁩ 🙌🏽🙌🏽👍🏾👍🏾🚲🚲🚲 #Velo #succes  https://t.co/TIIiku998D,The success story behind the Antwerp Velo shared bicycle: “Someone has even cycled to Ostend with it... and received a serious fine” @Stad_Antwerpen @Koen_Kennis 🙌🏽🙌🏽👍🏾👍🏾🚲🚲🚲 #Velo # good luck https://t.co/TIIiku998D
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"TW :  Niet iedere schuur is een stadshub: Is de stadshub ook een leerzame, inspirerende en aantrekkelijke werkplek? Draagt de inrichting bij aan het welzijn en de gezondheid van de medewerkers? Het is al lastig genoeg om goed logistiek personeel te… https://t.co/2Np5Xr8xhq","TW: Not every shed is a city hub: Is the city hub also an educational, inspiring and attractive workplace? Does the design contribute to the well-being and health of the employees? It is difficult enough to find good logistics staff… https://t.co/2Np5Xr8xhq"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Dinsdag 28 nov. is er weer een openbare vergadering van onze Wijkraad Entrepot-#Noordereiland.  
📍 in de Wijkhub aan de Stoomtramweg 110.
Start om 19.00 uur. 
Agenda: https://t.co/fFTwbo3SYl https://t.co/SRFUibHOul","Tuesday November 28 there is another public meeting of our Entrepot-#Noordereiland Neighborhood Council.
📍 in the Wijkhub at Stoomtramweg 110.
Starts at 7 p.m.
Agenda: https://t.co/fFTwbo3SYl https://t.co/SRFUibHOul"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@statistiekcbs Een deel van de huishoudens zonder auto kiest voor autodelen. Van de deelauto's is al 48% elektrisch.,"@statistiekcbs Some of the households without a car opt for car sharing. Of the shared cars, 48% are already electric."
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Gisteren vertelde collega's Colin en Anja meer over de impact van station-based autodelen in een webinar. We bedanken graag alle aanwezigen voor de goede vragen én feedback! Als dank planten we voor elke deelnemer een boom van @treesforall🌲. 

#greenwheels #autodelen #deelauto https://t.co/F9Ejs2cxUa","Yesterday, colleagues Colin and Anja told more about the impact of station-based car sharing in a webinar. We would like to thank everyone present for the good questions and feedback! As a thank you, we plant a tree from @treesforall🌲 for each participant.

#greenwheels #carsharing #sharecar https://t.co/F9Ejs2cxUa"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@SaskiaG_MD Vooral huishoudens met hogere inkomens hebben uberhaupt een auto. Het % huishoudens met een hoger inkomen en zónder autobezit is overigens gestegen. Huishoudens zonder auto gebruiken soms deelauto's en daarvan is al 48% elektrisch. https://t.co/QkJORlvGLk,@SaskiaG_MD Especially households with higher incomes have a car at all. The percentage of households with a higher income and without car ownership has increased. Households without a car sometimes use shared cars and 48% of these are already electric. https://t.co/QkJORlvGLk
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@statistiekcbs In huishoudens zonder bezit van een (stekker)auto wordt deels gebruik gemaakt van deelauto's. Van de deelauto's is al 48% elektrisch.  https://t.co/i3WOtTUPDg,"@statistiekcbs Shared cars are partly used in households without owning a (plug-in) car. Of the shared cars, 48% are already electric. https://t.co/i3WOtTUPDg"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Dit gaat ook in Nederland gebeuren. Hopelijk vinden we wel een manier om dit te doen met #deelauto's en icm goed #ov. Een toekomst in naar uit te kijken.
https://t.co/0QWQNtsiZX","This will also happen in the Netherlands. Hopefully we will find a way to do this with #sharecars and in combination with good #public transport. A future to look forward to.
https://t.co/0QWQNtsiZX"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Niet iedere schuur is een stadshub https://t.co/37mMBWDMN5
#stadslogistiek  #lutkemeerpolder #fca","Not every shed is a city hub https://t.co/37mMBWDMN5
#citylogistics #lutkemeerpolder #fca"
